,ean_code_pseudo,contractrek_pseudo,data_source,utc_timestamp,year,B_raw_value,B_consumption,D_raw_value,D_consumption,fraction_B_del,fraction_D_del,having_solar,utc_date
0,80000036,60000036,E,2016-12-01 00:00:00,2016,0.0,,4347.0,,0.0,,False,2016-12-01
1,80000036,60000036,E,2016-12-01 00:15:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
2,80000036,60000036,E,2016-12-01 00:30:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
3,80000036,60000036,E,2016-12-01 00:45:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
4,80000036,60000036,E,2016-12-01 01:00:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
5,80000036,60000036,E,2016-12-01 01:15:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
6,80000036,60000036,E,2016-12-01 01:30:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
7,80000036,60000036,E,2016-12-01 01:45:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
8,80000036,60000036,E,2016-12-01 02:00:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
9,80000036,60000036,E,2016-12-01 02:15:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
10,80000036,60000036,E,2016-12-01 02:30:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
11,80000036,60000036,E,2016-12-01 02:45:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
12,80000036,60000036,E,2016-12-01 03:00:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
13,80000036,60000036,E,2016-12-01 03:15:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
14,80000036,60000036,E,2016-12-01 03:30:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
15,80000036,60000036,E,2016-12-01 03:45:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
16,80000036,60000036,E,2016-12-01 04:00:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
17,80000036,60000036,E,2016-12-01 04:15:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
18,80000036,60000036,E,2016-12-01 04:30:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
19,80000036,60000036,E,2016-12-01 04:45:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
20,80000036,60000036,E,2016-12-01 05:00:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
21,80000036,60000036,E,2016-12-01 05:15:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
22,80000036,60000036,E,2016-12-01 05:30:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
23,80000036,60000036,E,2016-12-01 05:45:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
24,80000036,60000036,E,2016-12-01 06:00:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
25,80000036,60000036,E,2016-12-01 06:15:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
26,80000036,60000036,E,2016-12-01 06:30:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
27,80000036,60000036,E,2016-12-01 06:45:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
28,80000036,60000036,E,2016-12-01 07:00:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
29,80000036,60000036,E,2016-12-01 07:15:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
30,80000036,60000036,E,2016-12-01 07:30:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
31,80000036,60000036,E,2016-12-01 07:45:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
32,80000036,60000036,E,2016-12-01 08:00:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
33,80000036,60000036,E,2016-12-01 08:15:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
34,80000036,60000036,E,2016-12-01 08:30:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
35,80000036,60000036,E,2016-12-01 08:45:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
36,80000036,60000036,E,2016-12-01 09:00:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
37,80000036,60000036,E,2016-12-01 09:15:00,2016,0.0,0.0,4347.0,0.0,0.0,0.0,False,2016-12-01
